Date,Actual_Close,Predicted_Close,Signal,Market_Return,Stop_Loss_Return,Protected_Return,Strategy_Return,Prediction_Change,Position_Size,Trade,Transaction_Cost,Net_Return,Portfolio_Value,Expected_Return,Optimized_Position,Optimized_Turnover,Optimized_Transaction_Cost,Optimized_Gross_Return,Optimized_Net_Return,Optimized_Portfolio_Value
2024-12-19,24085.232726662736,24536.69,1,-0.0088909565952469,-0.0088909565952469,-0.0088909565952469,-0.0088909565952469,0.0187441524215579,1.0,0.0,0.0,-0.0088909565952469,82761.37903607293,0.0125678292214007,0.999999988639032,1.8553414027344672e-08,1.855341402734467e-11,-0.008890956494237027,-0.00889095651279044,96066.54115009034
2024-12-20,23777.616984272,24299.18,1,-0.0127719647089064,-0.0127719647089064,-0.0127719647089064,-0.0127719647089064,0.0219350415171122,1.0,0.0,0.0,-0.0127719647089064,81704.35362376377,0.0187441524215579,0.9999999891245922,4.855602586673058e-10,4.855602586673058e-13,-0.012771964570006076,-0.012771964570491635,94839.58269011171
2024-12-23,23762.770070026967,23975.518,1,-0.0006244071579946,-0.0006244071579946,-0.0006244071579946,-0.0006244071579946,0.0089529936680817,0.5,0.0,0.0,-0.0003122035789973,81678.84523214278,0.0219350415171122,0.9999999861989559,2.925636288786393e-09,2.925636288786393e-12,-0.0006244071493771294,-0.0006244071523027657,94780.3641763586
2024-12-24,23741.034252600268,23699.56,-1,-0.0009147004899953,-0.0009147004899953,-0.0009147004899953,-0.0009147004899953,-0.001746943800299,0.2,2.0,0.002,-0.002182940097999,81500.54520572728,0.0089529936680817,0.9999999634199738,2.2778982144977533e-08,2.2778982144977534e-11,-0.0009147004565355321,-0.0009147004793145142,94693.66853181687
2024-12-26,23746.699680221245,23734.316,-1,0.0002386344066016,0.0002386344066016,0.0002386344066016,-0.0002386344066016,-0.0005214905813442,0.2,0.0,0.0,-4.772688132033132e-05,81496.6554388787,-0.001746943800299,0.7999999998978697,0.19999996352210403,0.00019999996352210403,0.0001909075252569082,-9.092438265195823e-06,94692.80753548165
2024-12-27,23787.92422543971,23648.953,-1,0.0017360115626003,0.0017360115626003,0.0017360115626003,-0.0017360115626003,-0.0058420913116533,0.5,0.0,0.0,-0.0008680057813001,81425.91587080114,-0.0005214905813442,0.8000002405267578,2.4062888803744187e-07,2.4062888803744187e-10,0.0013888096676374726,0.0013888094270085845,94824.31779925682
2024-12-30,23699.53024667625,23696.262,-1,-0.003715918124076,-0.003715918124076,-0.003715918124076,0.003715918124076,-0.0001379034369979,0.2,0.0,0.0,0.0007431836248152,81486.4302781119,-0.0058420913116533,0.600000289388057,0.19999995113870073,0.00019999995113870073,-0.002229551949787926,-0.0024295519009266266,94593.93719769358
2024-12-31,23665.7055552147,23736.168,1,-0.0014272304602449,-0.0014272304602449,-0.0014272304602449,0.0014272304602449,0.0029774073129113,0.2,2.0,0.002,-0.001714553907951,81346.71740063358,-0.0001379034369979,0.6000003129758813,2.358782424938255e-08,2.358782424938255e-11,-0.000856338722835651,-0.0008563387464234753,94512.93274409445
2025-01-01,23713.41459170785,23708.115,-1,0.0020159566500919,0.0020159566500919,0.0020159566500919,0.0020159566500919,-0.0002234849682804,0.2,2.0,0.002,-0.0015968086699816,81216.82225701371,0.0029774073129113,0.800000239002535,0.19999992602665373,0.00019999992602665374,0.00161276580189227,0.0014127658758656162,94646.45739030329
2025-01-02,24007.126472109583,23708.562,-1,0.0123858957243736,0.0123858957243736,0.0123858957243736,-0.0123858957243736,-0.0124364934910656,1.0,0.0,0.0,-0.0123858957243736,80210.87916547335,-0.0002234849682804,0.8000007812274025,5.422248674502583e-07,5.422248674502584e-10,0.009908726255700025,0.009908725713475158,95584.2831763359
