Date,Actual_Close,Predicted_Close,Signal,Market_Return,Stop_Loss_Return,Protected_Return,Strategy_Return,Prediction_Change,Position_Size,Trade,Transaction_Cost,Net_Return,Portfolio_Value,Expected_Return,MV_Position,MV_Turnover,MV_Net_Return,MV_Portfolio_Value
2025-07-21,25069.705299609104,24775.508,-1,0.0013568154797027,0.0013568154797027,0.0013568154797027,-0.0013568154797027,-0.0117351718376079,1.0,0.0,0.0,-0.0013568154797027,62421.15403690575,-0.0105361160704626,0.5999999817510212,0.20000000390740214,0.0006140892591537209,92567.01153009156
2025-07-22,25064.26356658908,24921.467,-1,-0.0002170641000757,-0.0002170641000757,-0.0002170641000757,0.0002170641000757,-0.0056972177223443,0.5,0.0,0.0,0.0001085320500378,62427.9287327191,-0.0117351718376079,0.3999999744237661,0.2000000073272551,-0.0002868256418058529,92540.4609375994
2025-07-23,25160.45241374436,24966.426,-1,0.0038376889430535,0.0038376889430535,0.0038376889430535,-0.0038376889430535,-0.0077115629939296,0.5,0.0,0.0,-0.0019188444715267,62308.13924680145,-0.0056972177223443,0.19999996978532972,0.2000000046384364,0.0005675376680177575,92592.9811349972
2025-07-24,25099.66703775523,25081.258,-1,-0.0024159094991441,-0.0024159094991441,-0.0024159094991441,0.0024159094991441,-0.0007334375283758,0.2,0.0,0.0,0.0004831818998288,62338.24541189752,-0.0077115629939296,-3.212191701853854e-08,0.20000000190724673,-0.0001999999243036023,92574.46254577914
2025-07-25,24937.32988069825,24989.467,1,-0.0064677016158337,-0.0064677016158337,-0.0064677016158337,0.0064677016158337,0.0020907258135164,0.2,2.0,0.002,-0.0007064596768332,62294.20595518947,-0.0007334375283758,-3.419691296178634e-08,2.0749959432478023e-09,2.191004332762221e-10,92574.46256606226
2025-07-28,24778.847740115176,24856.094,1,-0.0063552169114039,-0.0063552169114039,-0.0063552169114039,-0.0063552169114039,0.0031174274403312,0.2,0.0,0.0,-0.0012710433822807,62215.0273169557,0.0020907258135164,0.19999995187385206,0.19999998607076502,-0.0014710430624994355,92438.28154513983
2025-07-29,24804.96083140596,24600.672,-1,0.0010538460692224,0.0010538460692224,0.0010538460692224,0.0010538460692224,-0.0082358054420834,0.5,2.0,0.002,-0.0014730769653887,62123.379793314045,0.0031174274403312,0.399999935215896,0.19999998334204394,0.0002215383760744427,92458.76017192045
2025-07-30,24835.91812290436,24686.594,-1,0.0012480282355136,0.0012480282355136,0.0012480282355136,-0.0012480282355136,-0.0060124261227391,0.5,0.0,0.0,-0.0006240141177568,62084.613927280254,-0.0082358054420834,0.1999999302991049,0.2000000049167911,4.960555519724377e-05,92463.34664005163
2025-07-31,24794.158484973905,24756.87,-1,-0.0016814211467359,-0.0016814211467359,-0.0016814211467359,0.0016814211467359,-0.0015039221837879,0.2,0.0,0.0,0.0003362842293471,62105.49200382911,-0.0060124261227391,-7.141694055660861e-08,0.20000000171604546,-0.00019999988163409136,92444.85398166813
2025-08-01,24652.74682292613,24803.422,1,-0.0057034265604729,-0.0057034265604729,-0.0057034265604729,0.0057034265604729,0.006111902180967,0.5,2.0,0.002,0.0008517132802364,62158.3880761444,-0.0015039221837879,-0.20000001464355407,0.19999994322661352,0.0009406854523864017,92531.81551095666
2025-08-04,24696.011165678265,24660.992,-1,0.0017549501912663,0.0017549501912663,0.0017549501912663,0.0017549501912663,-0.0014180089830431,0.2,2.0,0.002,-0.0016490099617467,62055.88827500072,0.006111902180967,-1.290174323890223e-08,0.20000000174181085,-0.00020000002438372763,92513.30914559819
2025-08-05,24667.297068971213,24610.756,-1,-0.0011627018029113,-0.0011627018029113,-0.0011627018029113,0.0011627018029113,-0.0022921469187775,0.2,0.0,0.0,0.0002325403605822,62070.318773636434,-0.0014180089830431,-0.19999992955655393,0.1999999166548107,3.254036202272759e-05,92516.31956216971
2025-08-06,24609.759433254952,24560.938,-1,-0.0023325472408015,-0.0023325472408015,-0.0023325472408015,0.0023325472408015,-0.0019838240754593,0.2,0.0,0.0,0.0004665094481603,62099.27516379466,-0.0022921469187775,-0.3999999015939799,0.19999997203742598,0.0007330186947464834,92584.13575397793
2025-08-07,24601.34858235529,24573.168,-1,-0.0003417689198658,-0.0003417689198658,-0.0003417689198658,0.0003417689198658,-0.0011454893320564,0.2,0.0,0.0,6.835378397316295e-05,62103.519884234105,-0.0019838240754593,-0.5999999013011388,0.19999999970715887,5.061318480117954e-06,92584.60435177518
2025-08-08,24454.226950325046,24576.855,1,-0.0059802263090472,-0.0059802263090472,-0.0059802263090472,0.0059802263090472,0.0050145952241325,0.5,2.0,0.002,0.0009901131545236,62165.009396213696,-0.0011454893320564,-0.6000006351792394,7.338781006227535e-07,0.003588138850065818,92916.81076756776
2025-08-11,24535.08052437513,24434.107,-1,0.0033063230424059,0.0033063230424059,0.0033063230424059,0.0033063230424059,-0.004115475564664,0.2,2.0,0.002,-0.0013387353915188,62081.78689802089,0.0050145952241325,-0.40000062829982075,0.20000000687941866,-0.0015225313012039534,92775.3420147661
2025-08-12,24505.61258112941,24501.121,-1,-0.0012010534555386,-0.0012010534555386,-0.0012010534555386,0.0012010534555386,-0.0001832878535291,0.2,0.0,0.0,0.0002402106911077,62096.69960695686,-0.004115475564664,-0.60000062810861,0.19999999980878924,0.0005206328279063873,92823.64390343922
2025-08-13,24575.90593036459,24361.531,-1,0.002868459174504,0.002868459174504,0.002868459174504,-0.002868459174504,-0.0087229716362041,0.5,0.0,0.0,-0.001434229587252,62007.63868310986,-0.0001832878535291,-0.6000006301375685,2.02895855672125e-09,-0.0017210773142552482,92663.8872356905
2025-08-14,24610.141831013505,24538.36,-1,0.0013930676958937,0.0013930676958937,0.0013930676958937,-0.0013930676958937,-0.0029167581197376,0.2,0.0,0.0,-0.0002786135391787,61990.36251544025,-0.0087229716362041,-0.8000006304736414,0.2000000003360729,-0.0013144550353434959,92542.08472251905
2025-08-18,24775.037865084232,24596.863,-1,0.0067003284744555,0.0067003284744555,0.0067003284744555,-0.0067003284744555,-0.0071917090926159,0.5,0.0,0.0,-0.0033501642372277,61782.68461988823,-0.0029167581197376,-1.00000000016493,0.19999936969128862,-0.006900327845251875,91903.5139984506
2025-08-19,24902.113394381136,24944.291,1,0.0051291759870928,0.0051291759870928,0.0051291759870928,-0.0051291759870928,0.0016937359874195,0.2,2.0,0.002,-0.0030258351974185,61595.74039817436,-0.0071917090926159,-1.0000000002532703,8.834022402481878e-11,-0.005129175988480208,91432.12470119279
2025-08-20,24993.852744667303,24915.588,-1,0.0036839985760752,0.0036839985760752,0.0036839985760752,0.0036839985760752,-0.0031313597574108,0.2,2.0,0.002,-0.0012632002847849,61517.93264136184,0.0016937359874195,-0.7999999998570352,0.2000000003962351,-0.003147198860729713,91144.3696224991
2025-08-21,25049.41230395824,24983.21,-1,0.0022229289681157,0.0022229289681157,0.0022229289681157,-0.0022229289681157,-0.0026428685493663,0.2,0.0,0.0,-0.0004445857936231,61490.58264245643,-0.0031313597574108,-0.9999999980071308,0.19999999815009561,-0.002422928961835789,90923.53328963247
2025-08-22,24938.59096409147,25055.479,1,-0.0044241093771792,-0.0044241093771792,-0.0044241093771792,0.0044241093771792,0.0046870344871061,0.2,2.0,0.002,-0.0011151781245641,61422.00968982685,-0.0026428685493663,-0.9999999998612552,1.8541244095615639e-09,0.004424109374711253,91325.788945641
2025-08-25,24956.612239362115,25119.602,1,0.0007226260415673,0.0007226260415673,0.0007226260415673,0.0007226260415673,0.0065309249137914,0.5,0.0,0.0,0.0003613130207836,61444.202261690494,0.0046870344871061,-0.7999999865890979,0.20000001327215733,-0.0007781008368349302,91254.72827283779
2025-08-26,24805.4649459106,25084.932,1,-0.0060564026880669,-0.0060564026880669,-0.0060564026880669,-0.0060564026880669,0.0112663501651266,1.0,0.0,0.0,-0.0060564026880669,61072.07142994666,0.0065309249137914,-0.5999999826975113,0.20000000389158656,0.0034338415041577147,91568.0825462317
2025-08-28,24617.2336989756,24907.145,1,-0.0075882974717644,-0.0075882974717644,-0.0075882974717644,-0.0075882974717644,0.0117767619452897,1.0,0.0,0.0,-0.0075882974717644,60608.63838471938,0.0112663501651266,-0.3999999753475104,0.2000000073500009,0.002835318794285335,91827.7072516317
2025-08-29,24499.56986068522,24776.336,1,-0.0047797343815798,-0.0047797343815798,-0.0047797343815798,-0.0047797343815798,0.0112967754490624,1.0,0.0,0.0,-0.0047797343815798,60318.9451920112,0.0117767619452897,-0.19999997026484936,0.20000000508266105,0.000755946729107177,91897.12410656999
2025-09-01,24577.12133453388,24616.428,1,0.0031654218539203,0.0031654218539203,0.0031654218539203,0.0031654218539203,0.0015993193397669,0.2,0.0,0.0,0.000633084370784,60357.132173474434,0.0112967754490624,3.181909102654036e-08,0.2000000020839404,-0.0001999999013630943,91878.74469081312
2025-09-02,24578.652992619154,24752.514,1,6.232048352727837e-05,6.232048352727837e-05,6.232048352727837e-05,6.232048352727837e-05,0.007073658895508,0.5,0.0,0.0,3.1160241763639185e-05,60359.01291630513,0.0015993193397669,0.19999999284665906,0.19999996102756804,-0.00018753586476791202,91861.51413097374
2025-09-03,24662.951461983343,24712.594,1,0.0034297432568621,0.0034297432568621,0.0034297432568621,0.0034297432568621,0.0020128384914992,0.2,0.0,0.0,0.0006859486513724,60400.41609981324,0.007073658895508,0.3999999862043006,0.19999999335764154,0.0011718972620714915,91969.16638787357
2025-09-04,24707.047766364307,24753.436,1,0.001787957311149,0.001787957311149,0.001787957311149,0.001787957311149,0.0018775304145745,0.2,0.0,0.0,0.0003575914622298,60422.01477292566,0.0020128384914992,0.5999999859251623,0.19999999972086174,0.0008727743618033294,92049.43471837332
2025-09-05,24728.03140074513,24736.357,1,0.0008492975194467,0.0008492975194467,0.0008492975194467,0.0008492975194467,0.0003366866985867,0.2,0.0,0.0,0.0001698595038893,60432.27802637897,0.0018775304145745,0.7999999870128758,0.20000000108771343,0.0004794380034397141,92093.56671557245
