Date,Actual_Close,Predicted_Close
2025-07-04,25451.385340486762,25729.074
2025-07-07,25457.513419891882,25641.674
2025-07-08,25497.677335211316,25601.379
2025-07-09,25484.341567244544,25643.39
2025-07-10,25404.558591026424,25687.15
2025-07-11,25247.139783125967,25513.951
2025-07-14,25145.263677295014,25332.428
2025-07-15,25176.49732523218,25228.123
2025-07-16,25198.470569468718,25200.47
2025-07-17,25144.688416977624,25031.697
2025-07-18,25035.736424882067,24771.957
2025-07-21,25069.705299609104,24775.508
2025-07-22,25064.263566589078,24921.467
2025-07-23,25160.452413744362,24966.426
2025-07-24,25099.66703775523,25081.258
2025-07-25,24937.329880698246,24989.467
2025-07-28,24778.847740115176,24856.094
2025-07-29,24804.96083140596,24600.672
2025-07-30,24835.918122904357,24686.594
2025-07-31,24794.158484973905,24756.87
2025-08-01,24652.746822926132,24803.422
2025-08-04,24696.011165678265,24660.992
2025-08-05,24667.297068971213,24610.756
2025-08-06,24609.759433254952,24560.938
2025-08-07,24601.348582355295,24573.168
2025-08-08,24454.226950325046,24576.855
2025-08-11,24535.080524375135,24434.107
2025-08-12,24505.61258112941,24501.121
2025-08-13,24575.90593036459,24361.531
2025-08-14,24610.141831013505,24538.36
2025-08-18,24775.037865084232,24596.863
2025-08-19,24902.113394381136,24944.291
2025-08-20,24993.852744667303,24915.588
2025-08-21,25049.41230395824,24983.21
2025-08-22,24938.59096409147,25055.479
2025-08-25,24956.612239362115,25119.602
2025-08-26,24805.464945910593,25084.932
2025-08-28,24617.233698975597,24907.145
2025-08-29,24499.56986068522,24776.336
2025-09-01,24577.12133453388,24616.428
2025-09-02,24578.652992619154,24752.514
2025-09-03,24662.951461983343,24712.594
2025-09-04,24707.047766364307,24753.436
2025-09-05,24728.031400745138,24736.357
2025-09-08,24755.91647002896,24804.455
2025-09-09,24825.558480103853,24718.75
2025-09-10,24916.743912731963,24792.889
2025-09-11,24971.59819137206,24889.83
2025-09-12,25059.607349163583,24952.207
2025-09-15,25065.535450583644,25134.617
2025-09-16,25172.80399994549,25139.312
2025-09-17,25270.110979371893,25306.447
2025-09-18,25364.972169600467,25449.58
2025-09-19,25341.535462699292,25576.117
2025-09-22,25255.513874591717,25448.967
2025-09-23,25202.354376589967,25330.516
2025-09-24,25112.458869464466,25314.682
2025-09-25,24975.496814507456,25278.375
2025-09-26,24777.2329968201,25135.496
2025-09-29,24689.266608484173,24903.797
2025-09-30,24640.95674623612,24753.102
2025-10-01,24761.68599937425,24658.283
2025-10-03,24843.615057445626,24791.775
2025-10-06,24988.25684791889,24814.793
2025-10-07,25062.44807886074,24987.545
2025-10-08,25052.375553593007,24999.629
2025-10-09,25132.364743286722,24992.068
2025-10-10,25226.914590293625,25024.074
2025-10-13,25227.183446871673,25197.668
2025-10-14,25176.700300386732,25287.996
2025-10-15,25267.458888824494,25252.004
2025-10-16,25463.895981392045,25314.834
2025-10-17,25615.90368314186,25517.992
2025-10-20,25756.349872197945,25738.926
2025-10-21,25825.72402500161,25828.725
2025-10-23,25866.314251214437,25897.664
2025-10-24,25822.332566599503,25960.46
2025-10-27,25911.155308055964,26001.822
2025-10-28,25926.633296076092,26063.318
2025-10-29,26005.288686156764,26127.842
2025-10-30,25926.527005210726,26213.482
2025-10-31,25800.18392635262,26106.248
2025-11-03,25777.419066508064,25962.34
2025-11-04,25666.315914699764,25930.246
2025-11-06,25569.5214733971,25906.777
2025-11-07,25521.796461015405,25756.707
